,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
4530,,mnist,0.006,N18,MNIST_P37_N18,timeout,3600.0,130.0,marabou,MNIST_P37_N18 N18 0.006,False,0,0
4522,,mnist,0.006,N15,MNIST_P55_N15,timeout,3600.0,122.0,marabou,MNIST_P55_N15 N15 0.006,False,0,0
3983,,mnist,0.03,N18,MNIST_P12_N18,timeout,3600.0,3983.0,marabou,MNIST_P12_N18 N18 0.03,False,0,0
3964,,mnist,0.03,N48,MNIST_P10_N48,outofmemory,3600.0,3964.0,marabou,MNIST_P10_N48 N48 0.03,False,0,0
4519,,mnist,0.006,N15,MNIST_P79_N15,timeout,3600.0,119.0,marabou,MNIST_P79_N15 N15 0.006,False,0,0
4517,,mnist,0.006,N48,MNIST_P75_N48,outofmemory,3600.0,117.0,marabou,MNIST_P75_N48 N48 0.006,False,0,0
4508,,mnist,0.006,N15,MNIST_P16_N15,timeout,3600.0,108.0,marabou,MNIST_P16_N15 N15 0.006,False,0,0
4496,,mnist,0.006,N5,MNIST_P88_N5,timeout,3600.0,96.0,marabou,MNIST_P88_N5 N5 0.006,False,0,0
4492,,mnist,0.006,N15,MNIST_P51_N15,timeout,3600.0,92.0,marabou,MNIST_P51_N15 N15 0.006,False,0,0
4490,,mnist,0.006,N18,MNIST_P21_N18,timeout,3600.0,90.0,marabou,MNIST_P21_N18 N18 0.006,False,0,0
4461,,mnist,0.006,N48,MNIST_P61_N48,outofmemory,3600.0,61.0,marabou,MNIST_P61_N48 N48 0.006,False,0,0
4445,,mnist,0.006,N48,MNIST_P5_N48,outofmemory,3600.0,45.0,marabou,MNIST_P5_N48 N48 0.006,False,0,0
4441,,mnist,0.006,N18,MNIST_P35_N18,timeout,3600.0,41.0,marabou,MNIST_P35_N18 N18 0.006,False,0,0
4439,,mnist,0.006,N49,MNIST_P99_N49,outofmemory,3600.0,39.0,marabou,MNIST_P99_N49 N49 0.006,False,0,0
4424,,mnist,0.006,N49,MNIST_P0_N49,outofmemory,3600.0,24.0,marabou,MNIST_P0_N49 N49 0.006,False,0,0
4254,,mnist,0.01,N48,MNIST_P65_N48,outofmemory,3600.0,4254.0,marabou,MNIST_P65_N48 N48 0.01,False,0,0
1277,,mnist,0.002,N18,MNIST_P33_N18,timeout,3600.0,1277.0,marabou,MNIST_P33_N18 N18 0.002,False,0,0
6900,,mnist,0.02,N48,MNIST_P12_N48,outofmemory,3600.0,2500.0,marabou,MNIST_P12_N48 N48 0.02,False,0,0
6976,,mnist,0.02,N14,MNIST_P51_N14,outofmemory,3600.0,2576.0,marabou,MNIST_P51_N14 N14 0.02,False,0,0
6971,,mnist,0.02,N5,MNIST_P6_N5,timeout,3600.0,2571.0,marabou,MNIST_P6_N5 N5 0.02,False,0,0
6966,,mnist,0.02,N48,MNIST_P59_N48,outofmemory,3600.0,2566.0,marabou,MNIST_P59_N48 N48 0.02,False,0,0
6962,,mnist,0.02,N49,MNIST_P41_N49,outofmemory,3600.0,2562.0,marabou,MNIST_P41_N49 N49 0.02,False,0,0
6959,,mnist,0.02,N49,MNIST_P31_N49,outofmemory,3600.0,2559.0,marabou,MNIST_P31_N49 N49 0.02,False,0,0
6956,,mnist,0.02,N48,MNIST_P47_N48,outofmemory,3600.0,2556.0,marabou,MNIST_P47_N48 N48 0.02,False,0,0
6949,,mnist,0.02,N49,MNIST_P76_N49,outofmemory,3600.0,2549.0,marabou,MNIST_P76_N49 N49 0.02,False,0,0
6942,,mnist,0.02,N14,MNIST_P69_N14,outofmemory,3600.0,2542.0,marabou,MNIST_P69_N14 N14 0.02,False,0,0
6941,,mnist,0.02,N49,MNIST_P36_N49,outofmemory,3600.0,2541.0,marabou,MNIST_P36_N49 N49 0.02,False,0,0
6916,,mnist,0.02,N48,MNIST_P66_N48,outofmemory,3600.0,2516.0,marabou,MNIST_P66_N48 N48 0.02,False,0,0
6911,,mnist,0.02,N14,MNIST_P0_N14,outofmemory,3600.0,2511.0,marabou,MNIST_P0_N14 N14 0.02,False,0,0
6898,,mnist,0.02,N48,MNIST_P57_N48,outofmemory,3600.0,2498.0,marabou,MNIST_P57_N48 N48 0.02,False,0,0
6987,,mnist,0.02,N14,MNIST_P61_N14,outofmemory,3600.0,2587.0,marabou,MNIST_P61_N14 N14 0.02,False,0,0
6892,,mnist,0.02,N48,MNIST_P14_N48,outofmemory,3600.0,2492.0,marabou,MNIST_P14_N48 N48 0.02,False,0,0
6869,,mnist,0.02,N49,MNIST_P99_N49,outofmemory,3600.0,2469.0,marabou,MNIST_P99_N49 N49 0.02,False,0,0
6865,,mnist,0.02,N15,MNIST_P14_N15,timeout,3600.0,2465.0,marabou,MNIST_P14_N15 N15 0.02,False,0,0
6835,,mnist,0.02,N49,MNIST_P29_N49,outofmemory,3600.0,2435.0,marabou,MNIST_P29_N49 N49 0.02,False,0,0
